"Ligne1";"Ligne2";"Ligne3";"Ligne4";"Shape";"Show_on_side";"Source_dataset";"Animation_type";"Image_URL";"Scale"
"Route de Berne";"1000";"Lausanne";"residential";3;0;3;0;0;1
"Route de Berne";"1000";"Lausanne";"primary";3;0;3;0;0;1
"Rue de Genève";"1002";"Lausanne";"residential";3;0;3;0;0;1
"Rue de Genève";"1002";"Lausanne";"primary";3;0;3;0;0;1
"Avenue du Grey";"1004";"Lausanne";"yes";3;0;3;0;0;1
"Rue de Genève";"1004";"Lausanne";"primary";3;0;3;0;0;1
"Rue de Genève";"1004";"Lausanne";"primary";3;0;3;0;0;1
"Route de Lausanne";"1008";"Prilly";"primary";3;0;3;0;0;1
"Route de Berne";"1010";"Lausanne";"primary";3;0;3;0;0;1
"Route de Berne";"1010";"Lausanne";"primary";3;0;3;0;0;1
"Route de Berne";"1010";"Lausanne";"primary";3;0;3;0;0;1
"Route de Berne";"1010";"Lausanne";"primary";3;0;3;0;0;1
"Route de Berne";"1010";"Lausanne";"primary";3;0;3;0;0;1
"Route de Lausanne";"1018";"Lausanne";"secondary";3;0;3;0;0;1
"Rue de Lausanne";"1020";"Renens VD";"primary";3;0;3;0;0;1
"Route de Genève";"1025";"St-Sulpice VD";"primary";3;0;3;0;0;1
"Route de Genève";"1026";"Echandens";"primary";3;0;3;0;0;1
"Route de Genève";"1026";"Echandens";"primary";3;0;3;0;0;1
"Route de Genève";"1026";"Echandens";"secondary";3;0;3;0;0;1
"Rue de Lausanne";"1028";"Préverenges";"residential";3;0;3;0;0;1
"Route de Genève";"1028";"Préverenges";"residential";3;0;3;0;0;1
"Route de Genève";"1028";"Préverenges";"primary";3;0;3;0;0;1
"Route de Genève";"1028";"Préverenges";"primary";3;0;3;0;0;1
"Route de Genève";"1028";"Préverenges";"unclassified";3;0;3;0;0;1
"Rue de Lausanne";"1030";"Bussigny-près-Lausanne";"residential";3;0;3;0;0;1
"Rue de Lausanne";"1030";"Bussigny-près-Lausanne";"tertiary";3;0;3;0;0;1
"Route de Genève";"1030";"Bussigny-près-Lausanne";"primary";3;0;3;0;0;1
"Route de Genève";"1030";"Bussigny-près-Lausanne";"secondary";3;0;3;0;0;1
"Route de Genève";"1030";"Bussigny-près-Lausanne";"secondary";3;0;3;0;0;1
"Rue de Lausanne";"1030";"Bussigny-près-Lausanne";"residential";3;0;3;0;0;1
"Route de Genève";"1032";"Romanel-sur-Lausanne";"secondary";3;0;3;0;0;1
"Route de Genève";"1033";"Cheseaux-sur-Lausanne";"secondary";3;0;3;0;0;1
"Route de Lausanne";"1033";"Cheseaux-sur-Lausanne";"unclassified";3;0;3;0;0;1
"Route de Genève";"1033";"Cheseaux-sur-Lausanne";"unclassified";3;0;3;0;0;1
"route de Genève";"1033";"Cheseaux-sur-Lausanne";"secondary";3;0;3;0;0;1
"route de Lausanne";"1033";"Cheseaux-sur-Lausanne";"unclassified";3;0;3;0;0;1
"route de Genève";"1033";"Cheseaux-sur-Lausanne";"secondary";3;0;3;0;0;1
"Route de Lausanne";"1033";"Cheseaux-sur-Lausanne";"unclassified";3;0;3;0;0;1
"Route de Lausanne";"1037";"Etagnières";"primary";3;0;3;0;0;1
"Route de Lausanne";"1040";"Echallens";"primary";3;0;3;0;0;1
"Route de Lausanne";"1041";"Bottens";"secondary";3;0;3;0;0;1
"Route de Lausanne";"1043";"Sugnens";"secondary";3;0;3;0;0;1
"Route de Lausanne";"1052";"Le Mont-sur-Lausanne";"secondary";3;0;3;0;0;1
"Route de Lausanne";"1055";"Froideville";"tertiary";3;0;3;0;0;1
"Route de Lausanne";"1055";"Froideville";"tertiary";3;0;3;0;0;1
"Route de Lausanne";"1055";"Froideville";"secondary";3;0;3;0;0;1
"Route de Lausanne";"1063";"Chapelle-sur-Moudon";"secondary";3;0;3;0;0;1
"Route de Berne";"1066";"Epalinges";"primary";3;0;3;0;0;1
"Route de Berne";"1066";"Epalinges";"primary";3;0;3;0;0;1
"Route de Berne";"1066";"Epalinges";"primary";3;0;3;0;0;1
"Route de Berne";"1066";"Epalinges";"primary";3;0;3;0;0;1
"Route de Berne";"1066";"Epalinges";"primary";3;0;3;0;0;1
"Route de Berne";"1081";"Montpreveyres";"primary";3;0;3;0;0;1
"Route de Berne";"1081";"Montpreveyres";"primary";3;0;3;0;0;1
"Route de Berne";"1081";"Montpreveyres";"primary";3;0;3;0;0;1
"Route de Berne";"1081";"Montpreveyres";"primary";3;0;3;0;0;1
"Rue de Lausanne";"1110";"Morges";"primary";3;0;3;0;0;1
"Route de Genève";"1110";"Morges";"primary";3;0;3;0;0;1
"Route de Genève";"1110";"Morges";"primary";3;0;3;0;0;1
"Route de Genève";"1131";"Tolochenaz";"primary";3;0;3;0;0;1
"Route de Genève";"1131";"Tolochenaz";"primary";3;0;3;0;0;1
"Route de Genève";"1180";"Rolle";"primary";3;0;3;0;0;1
"Route de Genève";"1195";"Bursinel";"primary";3;0;3;0;0;1
"Rue de Fribourg";"1201";"Genève";"residential";3;0;3;0;0;1
"Rue de Berne";"1201";"Genève";"residential";3;0;3;0;0;1
"Rue de Berne";"1201";"Genève";"residential";3;0;3;0;0;1
"Rue de Berne";"1201";"Genève";"living_street";3;0;3;0;0;1
"Rue de Berne";"1201";"Genève";"residential";3;0;3;0;0;1
"Rue de Berne";"1202";"Genève";"residential";3;0;3;0;0;1
"Rue de Lausanne";"1202";"Genève";"secondary";3;0;3;0;0;1
"Rue de Lausanne";"1202";"Genève";"primary";3;0;3;0;0;1
"Chemin de la Berne";"1217";"Meyrin";"unclassified";3;0;3;0;0;1
"Chemin de la Berne";"1217";"Meyrin";"track";3;0;3;0;0;1
"Rue de Genève";"1225";"Chêne-Bourg";"secondary";3;0;3;0;0;1
"Rue de Genève";"1226";"Thônex";"secondary";3;0;3;0;0;1
"Rue de Genève";"1226";"Thônex";"residential";3;0;3;0;0;1
"Rue de Genève";"1226";"Thônex";"service";3;0;3;0;0;1
"Chemin des Prés de la Berne";"1254";"Jussy";"track";3;0;3;0;0;1
"Route de Genève";"1260";"Nyon";"primary";3;0;3;0;0;1
"Route de Genève";"1260";"Nyon";"primary";3;0;3;0;0;1
"Route de Genève";"1263";"Crassier";"tertiary";3;0;3;0;0;1
